"Plot Title: 16882"
"#","Date","Time, GMT-06:00","Abs Pres, psi (LGR S/N: 20757958, SEN S/N: 20757958)","Temp, °F (LGR S/N: 20757958, SEN S/N: 20757958)","Abs Pres Barom., psi (LGR S/N: 20757959, SEN S/N: 20757959)","Water Level, feet (LGR S/N: 20757958)","Coupler Detached (LGR S/N: 20757958)","Coupler Attached (LGR S/N: 20757958)","Stopped (LGR S/N: 20757958)","End Of File (LGR S/N: 20757958)"
93,07/30/20,09:39:01 PM,,,14.5735,,,,,
94,07/30/20,09:49:16 PM,15.4045,85.014,,2.385,,,,
95,07/30/20,09:54:01 PM,,,14.5746,,,,,
96,07/30/20,10:04:16 PM,15.4069,85.014,,2.391,,,,
97,07/30/20,10:09:01 PM,,,14.5737,,,,,
98,07/30/20,10:19:16 PM,15.4090,84.834,,2.390,,,,
99,07/30/20,10:24:01 PM,,,14.5775,,,,,
100,07/30/20,10:34:16 PM,15.4085,84.654,,2.391,,,,
101,07/30/20,10:39:01 PM,,,14.5747,,,,,
102,07/30/20,10:49:16 PM,15.4135,84.654,,2.402,,,,
103,07/30/20,10:54:01 PM,,,14.5761,,,,,
104,07/30/20,11:04:16 PM,15.4130,84.474,,2.397,,,,
105,07/30/20,11:09:01 PM,,,14.5780,,,,,
106,07/30/20,11:19:16 PM,15.4179,84.474,,2.400,,,,
107,07/30/20,11:24:01 PM,,,14.5824,,,,,
108,07/30/20,11:34:16 PM,15.4175,84.295,,2.394,,,,
109,07/30/20,11:39:01 PM,,,14.5838,,,,,
110,07/30/20,11:49:16 PM,15.4224,84.295,,2.401,,,,
111,07/30/20,11:54:01 PM,,,14.5857,,,,,
112,07/31/20,12:04:16 AM,15.4194,84.115,,2.397,,,,
113,07/31/20,12:09:01 AM,,,14.5828,,,,,
114,07/31/20,12:19:16 AM,15.4169,84.115,,2.399,,,,
115,07/31/20,12:24:01 AM,,,14.5795,,,,,
116,07/31/20,12:34:16 AM,15.4139,83.935,,2.395,,,,
117,07/31/20,12:39:01 AM,,,14.5790,,,,,
118,07/31/20,12:49:16 AM,15.4139,83.935,,2.393,,,,
119,07/31/20,12:54:01 AM,,,14.5805,,,,,
120,07/31/20,01:04:16 AM,15.4135,83.757,,2.392,,,,
121,07/31/20,01:09:01 AM,,,14.5799,,,,,
122,07/31/20,01:19:16 AM,15.4135,83.757,,2.401,,,,
123,07/31/20,01:24:01 AM,,,14.5747,,,,,
124,07/31/20,01:34:16 AM,15.4059,83.757,,2.392,,,,
125,07/31/20,01:39:01 AM,,,14.5714,,,,,
126,07/31/20,01:49:16 AM,15.4104,83.579,,2.405,,,,
127,07/31/20,01:54:01 AM,,,14.5714,,,,,
128,07/31/20,02:04:16 AM,15.4055,83.579,,2.399,,,,
129,07/31/20,02:09:01 AM,,,14.5679,,,,,
130,07/31/20,02:19:16 AM,15.4004,83.579,,2.395,,,,
131,07/31/20,02:24:01 AM,,,14.5645,,,,,
132,07/31/20,02:34:16 AM,15.3979,83.579,,2.397,,,,
133,07/31/20,02:39:01 AM,,,14.5616,,,,,
134,07/31/20,02:49:16 AM,15.3975,83.399,,2.403,,,,
135,07/31/20,02:54:01 AM,,,14.5582,,,,,
136,07/31/20,03:04:16 AM,15.3975,83.399,,2.406,,,,
137,07/31/20,03:09:01 AM,,,14.5577,,,,,
138,07/31/20,03:19:16 AM,15.3950,83.399,,2.406,,,,
139,07/31/20,03:24:01 AM,,,14.5548,,,,,
140,07/31/20,03:34:16 AM,15.3924,83.399,,2.403,,,,
141,07/31/20,03:39:01 AM,,,14.5542,,,,,
142,07/31/20,03:49:16 AM,15.3950,83.399,,2.401,,,,
143,07/31/20,03:54:01 AM,,,14.5590,,,,,
144,07/31/20,04:04:16 AM,15.3975,83.399,,2.400,,,,
145,07/31/20,04:09:01 AM,,,14.5615,,,,,
146,07/31/20,04:19:16 AM,15.3975,83.399,,2.410,,,,
147,07/31/20,04:24:01 AM,,,14.5538,,,,,
148,07/31/20,04:34:16 AM,15.4000,83.399,,2.413,,,,
149,07/31/20,04:39:01 AM,,,14.5590,,,,,
150,07/31/20,04:49:16 AM,15.4000,83.399,,2.413,,,,
151,07/31/20,04:54:01 AM,,,14.5567,,,,,
152,07/31/20,05:04:16 AM,15.4024,83.399,,2.416,,,,
153,07/31/20,05:09:01 AM,,,14.5596,,,,,
154,07/31/20,05:19:16 AM,15.4024,83.399,,2.409,,,,
155,07/31/20,05:24:01 AM,,,14.5625,,,,,
156,07/31/20,05:34:16 AM,15.4024,83.399,,2.410,,,,
157,07/31/20,05:39:01 AM,,,14.5606,,,,,
158,07/31/20,05:49:16 AM,15.4049,83.399,,2.409,,,,
