"Plot Title: 16396"
"#","Date","Time, GMT-06:00","Abs Pres, psi (LGR S/N: 20757957, SEN S/N: 20757957)","Temp, °F (LGR S/N: 20757957, SEN S/N: 20757957)","Abs Pres Barom., psi (LGR S/N: 20757959, SEN S/N: 20757959)","Water Level, feet (LGR S/N: 20757957)","Coupler Detached (LGR S/N: 20757957)","Coupler Attached (LGR S/N: 20757957)","Stopped (LGR S/N: 20757957)","End Of File (LGR S/N: 20757957)"
1,11/10/20,08:47:19 AM,15.1045,72.891,,,Logged,,,
2,11/10/20,09:02:19 AM,15.1038,70.651,,,,,,
3,11/10/20,09:17:19 AM,15.1055,70.480,,,,,,
4,11/10/20,09:32:19 AM,15.1061,70.651,,,,,,
5,11/10/20,09:47:19 AM,15.1015,70.651,,,,,,
6,11/10/20,10:02:19 AM,15.0997,70.824,,,,,,
7,11/10/20,10:17:19 AM,15.0980,70.995,,,,,,
8,11/10/20,10:32:19 AM,15.0986,71.168,,,,,,
9,11/10/20,10:47:19 AM,15.0916,71.168,,,,,,
10,11/10/20,10:54:01 AM,,,14.5645,,,,,
11,11/10/20,11:02:19 AM,15.0900,71.339,,1.680,,,,
12,11/10/20,11:09:01 AM,,,14.5609,,,,,
13,11/10/20,11:17:19 AM,15.0836,71.512,,1.675,,,,
14,11/10/20,11:24:01 AM,,,14.5561,,,,,
15,11/10/20,11:32:19 AM,15.0778,71.856,,1.675,,,,
16,11/10/20,11:39:01 AM,,,14.5496,,,,,
17,11/10/20,11:47:19 AM,15.0715,72.028,,1.673,,,,
18,11/10/20,11:54:01 AM,,,14.5454,,,,,
19,11/10/20,12:02:19 PM,15.0656,72.372,,1.669,,,,
20,11/10/20,12:09:01 PM,,,14.5412,,,,,
21,11/10/20,12:17:19 PM,15.0546,72.545,,1.654,,,,
22,11/10/20,12:24:01 PM,,,14.5364,,,,,
23,11/10/20,12:32:19 PM,15.0511,72.891,,1.652,,,,
24,11/10/20,12:39:01 PM,,,14.5358,,,,,
25,11/10/20,12:47:19 PM,15.0500,73.234,,1.653,,,,
26,11/10/20,12:54:01 PM,,,14.5334,,,,,
27,11/10/20,01:02:19 PM,15.0419,73.580,,1.640,,,,
28,11/10/20,01:09:01 PM,,,14.5303,,,,,
29,11/10/20,01:17:19 PM,15.0355,73.753,,1.634,,,,
30,11/10/20,01:24:01 PM,,,14.5260,,,,,
31,11/10/20,01:32:19 PM,15.0291,73.926,,1.629,,,,
32,11/10/20,01:39:01 PM,,,14.5219,,,,,
33,11/10/20,01:47:19 PM,15.0256,74.271,,1.626,,,,
34,11/10/20,01:54:01 PM,,,14.5216,,,,,
35,11/10/20,02:02:19 PM,15.0239,74.446,,1.625,,,,
36,11/10/20,02:09:01 PM,,,14.5191,,,,,
37,11/10/20,02:17:19 PM,15.0216,74.446,,1.626,,,,
38,11/10/20,02:24:01 PM,,,14.5164,,,,,
39,11/10/20,02:32:19 PM,15.0198,74.619,,1.622,,,,
40,11/10/20,02:39:01 PM,,,14.5183,,,,,
41,11/10/20,02:47:19 PM,15.0152,74.619,,1.617,,,,
42,11/10/20,02:54:01 PM,,,14.5129,,,,,
43,11/10/20,03:02:19 PM,15.0129,74.619,,1.617,,,,
44,11/10/20,03:09:01 PM,,,14.5128,,,,,
45,11/10/20,03:17:19 PM,15.0111,74.791,,1.609,,,,
46,11/10/20,03:24:01 PM,,,14.5158,,,,,
47,11/10/20,03:32:19 PM,15.0088,74.791,,1.605,,,,
48,11/10/20,03:39:01 PM,,,14.5125,,,,,
