"Plot Title: 16396"
"#","Date","Time, GMT-06:00","Abs Pres, psi (LGR S/N: 20757957, SEN S/N: 20757957)","Temp, °F (LGR S/N: 20757957, SEN S/N: 20757957)","Abs Pres Barom., psi (LGR S/N: 20757959, SEN S/N: 20757959)","Water Level, feet (LGR S/N: 20757957)","Coupler Detached (LGR S/N: 20757957)","Coupler Attached (LGR S/N: 20757957)","Stopped (LGR S/N: 20757957)","End Of File (LGR S/N: 20757957)"
49,11/10/20,03:47:19 PM,15.0065,74.791,,1.601,,,,
50,11/10/20,03:54:01 PM,,,14.5139,,,,,
51,11/10/20,04:02:19 PM,15.0059,74.619,,1.596,,,,
52,11/10/20,04:09:01 PM,,,14.5154,,,,,
53,11/10/20,04:17:19 PM,15.0059,74.619,,1.594,,,,
54,11/10/20,04:24:01 PM,,,14.5158,,,,,
55,11/10/20,04:32:19 PM,15.0082,74.619,,1.598,,,,
56,11/10/20,04:39:01 PM,,,14.5167,,,,,
57,11/10/20,04:47:19 PM,15.0053,74.446,,1.592,,,,
58,11/10/20,04:54:01 PM,,,14.5152,,,,,
59,11/10/20,05:02:19 PM,15.0053,74.446,,1.595,,,,
60,11/10/20,05:09:01 PM,,,14.5142,,,,,
61,11/10/20,05:17:19 PM,15.0094,74.271,,1.602,,,,
62,11/10/20,05:24:01 PM,,,14.5170,,,,,
63,11/10/20,05:32:19 PM,15.0094,74.271,,1.599,,,,
64,11/10/20,05:39:01 PM,,,14.5173,,,,,
65,11/10/20,05:47:19 PM,15.0111,74.098,,1.602,,,,
66,11/10/20,05:54:01 PM,,,14.5176,,,,,
67,11/10/20,06:02:19 PM,15.0105,73.926,,1.598,,,,
68,11/10/20,06:09:01 PM,,,14.5196,,,,,
69,11/10/20,06:17:19 PM,15.0152,73.926,,1.602,,,,
70,11/10/20,06:24:01 PM,,,14.5235,,,,,
71,11/10/20,06:32:19 PM,15.0146,73.753,,1.597,,,,
72,11/10/20,06:39:01 PM,,,14.5232,,,,,
73,11/10/20,06:47:19 PM,15.0210,73.580,,1.606,,,,
74,11/10/20,06:54:01 PM,,,14.5274,,,,,
75,11/10/20,07:02:19 PM,15.0204,73.407,,1.599,,,,
76,11/10/20,07:09:01 PM,,,14.5289,,,,,
77,11/10/20,07:17:19 PM,15.0227,73.407,,1.606,,,,
78,11/10/20,07:24:01 PM,,,14.5264,,,,,
79,11/10/20,07:32:19 PM,15.0221,73.234,,1.603,,,,
80,11/10/20,07:39:01 PM,,,14.5294,,,,,
81,11/10/20,07:47:19 PM,15.0262,73.062,,1.610,,,,
82,11/10/20,07:54:01 PM,,,14.5289,,,,,
83,11/10/20,08:02:19 PM,15.0256,72.891,,1.610,,,,
84,11/10/20,08:09:01 PM,,,14.5281,,,,,
85,11/10/20,08:17:19 PM,15.0274,72.718,,1.614,,,,
86,11/10/20,08:24:01 PM,,,14.5287,,,,,
87,11/10/20,08:32:19 PM,15.0314,72.545,,1.620,,,,
88,11/10/20,08:39:01 PM,,,14.5310,,,,,
89,11/10/20,08:47:19 PM,15.0378,72.372,,1.629,,,,
90,11/10/20,08:54:01 PM,,,14.5339,,,,,
91,11/10/20,09:02:19 PM,15.0372,72.199,,1.624,,,,
92,11/10/20,09:09:01 PM,,,14.5344,,,,,
93,11/10/20,09:17:19 PM,15.0419,72.199,,1.633,,,,
94,11/10/20,09:24:01 PM,,,14.5354,,,,,
95,11/10/20,09:32:19 PM,15.0482,72.028,,1.648,,,,
96,11/10/20,09:39:01 PM,,,14.5342,,,,,
97,11/10/20,09:47:19 PM,15.0546,71.856,,1.656,,,,
98,11/10/20,09:54:01 PM,,,14.5400,,,,,
99,11/10/20,10:02:19 PM,15.0587,71.683,,1.659,,,,
100,11/10/20,10:09:01 PM,,,14.5410,,,,,
101,11/10/20,10:17:19 PM,15.0627,71.512,,1.668,,,,
102,11/10/20,10:24:01 PM,,,14.5405,,,,,
103,11/10/20,10:32:19 PM,15.0668,71.339,,1.679,,,,
104,11/10/20,10:39:01 PM,,,14.5397,,,,,
105,11/10/20,10:47:19 PM,15.0668,71.339,,1.679,,,,
106,11/10/20,10:54:01 PM,,,14.5397,,,,,
107,11/10/20,11:02:19 PM,15.0662,71.168,,1.676,,,,
108,11/10/20,11:09:01 PM,,,14.5415,,,,,
109,11/10/20,11:17:19 PM,15.0701,70.995,,1.687,,,,
110,11/10/20,11:24:01 PM,,,14.5384,,,,,
111,11/10/20,11:32:19 PM,15.0725,70.995,,1.693,,,,
112,11/10/20,11:39:01 PM,,,14.5402,,,,,
113,11/10/20,11:47:19 PM,15.0742,70.824,,1.690,,,,
114,11/10/20,11:54:01 PM,,,14.5442,,,,,
115,11/11/20,12:02:19 AM,15.0765,70.824,,1.695,,,,
116,11/11/20,12:09:01 AM,,,14.5412,,,,,
117,11/11/20,12:17:19 AM,15.0759,70.651,,1.695,,,,
118,11/11/20,12:24:01 AM,,,14.5429,,,,,
119,11/11/20,12:32:19 AM,15.0783,70.651,,1.696,,,,
120,11/11/20,12:39:01 AM,,,14.5447,,,,,
121,11/11/20,12:47:19 AM,15.0754,70.480,,1.691,,,,
122,11/11/20,12:54:01 AM,,,14.5422,,,,,
123,11/11/20,01:02:19 AM,15.0800,70.480,,1.703,,,,
124,11/11/20,01:09:01 AM,,,14.5429,,,,,
125,11/11/20,01:17:19 AM,15.0777,70.480,,1.698,,,,
126,11/11/20,01:24:01 AM,,,14.5425,,,,,
127,11/11/20,01:32:19 AM,15.0771,70.308,,1.698,,,,
128,11/11/20,01:39:01 AM,,,14.5415,,,,,
129,11/11/20,01:47:19 AM,15.0771,70.308,,1.695,,,,
130,11/11/20,01:54:01 AM,,,14.5445,,,,,
131,11/11/20,02:02:19 AM,15.0794,70.308,,1.696,,,,
132,11/11/20,02:09:01 AM,,,14.5453,,,,,
133,11/11/20,02:17:19 AM,15.0794,70.308,,1.697,,,,
134,11/11/20,02:24:01 AM,,,14.5445,,,,,
135,11/11/20,02:32:19 AM,15.0812,70.137,,1.700,,,,
136,11/11/20,02:39:01 AM,,,14.5455,,,,,
137,11/11/20,02:47:19 AM,15.0788,70.137,,1.692,,,,
138,11/11/20,02:54:01 AM,,,14.5467,,,,,
139,11/11/20,03:02:19 AM,15.0781,69.964,,1.691,,,,
140,11/11/20,03:09:01 AM,,,14.5453,,,,,
141,11/11/20,03:17:19 AM,15.0804,69.964,,1.700,,,,
142,11/11/20,03:24:01 AM,,,14.5439,,,,,
143,11/11/20,03:32:19 AM,15.0804,69.964,,1.700,,,,
144,11/11/20,03:39:01 AM,,,14.5450,,,,,
145,11/11/20,03:47:19 AM,15.0799,69.793,,1.696,,,,
146,11/11/20,03:54:01 AM,,,14.5460,,,,,
147,11/11/20,04:02:19 AM,15.0822,69.793,,1.700,,,,
148,11/11/20,04:09:01 AM,,,14.5463,,,,,
149,11/11/20,04:17:19 AM,15.0816,69.622,,1.698,,,,
150,11/11/20,04:24:01 AM,,,14.5466,,,,,
151,11/11/20,04:32:19 AM,15.0862,69.622,,1.705,,,,
152,11/11/20,04:39:01 AM,,,14.5493,,,,,
153,11/11/20,04:47:19 AM,15.0880,69.449,,1.709,,,,
154,11/11/20,04:54:01 AM,,,14.5471,,,,,
155,11/11/20,05:02:19 AM,15.0949,69.449,,1.725,,,,
156,11/11/20,05:09:01 AM,,,14.5490,,,,,
157,11/11/20,05:17:19 AM,15.0965,69.278,,1.724,,,,
158,11/11/20,05:24:01 AM,,,14.5509,,,,,
159,11/11/20,05:32:19 AM,15.0989,69.278,,1.727,,,,
160,11/11/20,05:39:01 AM,,,14.5511,,,,,
161,11/11/20,05:47:19 AM,15.1029,69.107,,1.734,,,,
162,11/11/20,05:54:01 AM,,,14.5527,,,,,
163,11/11/20,06:02:19 AM,15.1070,68.934,,1.736,,,,
164,11/11/20,06:09:01 AM,,,14.5574,,,,,
165,11/11/20,06:17:19 AM,15.1093,68.934,,1.732,,,,
166,11/11/20,06:24:01 AM,,,14.5606,,,,,
167,11/11/20,06:32:19 AM,15.1132,68.763,,1.737,,,,
168,11/11/20,06:39:01 AM,,,14.5614,,,,,
169,11/11/20,06:47:19 AM,15.1126,68.592,,1.735,,,,
170,11/11/20,06:54:01 AM,,,14.5614,,,,,
171,11/11/20,07:02:19 AM,15.1150,68.592,,1.741,,,,
172,11/11/20,07:09:01 AM,,,14.5614,,,,,
173,11/11/20,07:17:19 AM,15.1167,68.421,,1.741,,,,
174,11/11/20,07:24:01 AM,,,14.5644,,,,,
175,11/11/20,07:32:19 AM,15.1229,68.248,,1.745,,,,
176,11/11/20,07:39:01 AM,,,14.5699,,,,,
177,11/11/20,07:47:19 AM,15.1229,68.248,,1.731,,,,
178,11/11/20,07:54:01 AM,,,14.5766,,,,,
179,11/11/20,08:02:19 AM,15.1293,68.077,,1.733,,,,
180,11/11/20,08:09:01 AM,,,14.5812,,,,,
181,11/11/20,08:17:19 AM,15.1316,68.077,,1.726,,,,
182,11/11/20,08:24:01 AM,,,14.5864,,,,,
183,11/11/20,08:32:19 AM,15.1287,67.906,,1.711,,,,
184,11/11/20,08:39:01 AM,,,14.5889,,,,,
185,11/11/20,08:47:19 AM,15.1309,67.906,,1.711,,,,
186,11/11/20,08:54:01 AM,,,14.5912,,,,,
187,11/11/20,09:02:19 AM,15.1309,67.906,,1.703,,,,
188,11/11/20,09:09:01 AM,,,14.5953,,,,,
189,11/11/20,09:17:19 AM,15.1327,67.735,,1.700,,,,
190,11/11/20,09:24:01 AM,,,14.5975,,,,,
191,11/11/20,09:32:19 AM,15.1327,67.735,,1.692,,,,
192,11/11/20,09:39:01 AM,,,14.6025,,,,,
193,11/11/20,09:47:19 AM,15.1280,67.735,,1.676,,,,
194,11/11/20,09:54:01 AM,,,14.6021,,,,,
195,11/11/20,10:02:19 AM,15.1280,67.735,,1.673,,,,
196,11/11/20,10:09:01 AM,,,14.6046,,,,,
197,11/11/20,10:17:19 AM,15.1264,67.906,,1.669,,,,
198,11/11/20,10:24:01 AM,,,14.6034,,,,,
199,11/11/20,10:32:19 AM,15.1241,67.906,,1.664,,,,
200,11/11/20,10:39:01 AM,,,14.6040,,,,,
201,11/11/20,10:47:19 AM,15.1177,68.077,,1.657,,,,
202,11/11/20,10:54:01 AM,,,14.5975,,,,,
203,11/11/20,11:02:19 AM,15.1131,68.077,,1.652,,,,
204,11/11/20,11:09:01 AM,,,14.5979,,,,,
205,11/11/20,11:17:19 AM,15.1067,68.248,,1.642,,,,
206,11/11/20,11:24:01 AM,,,14.5943,,,,,
207,11/11/20,11:32:19 AM,15.1028,68.421,,1.641,,,,
208,11/11/20,11:39:01 AM,,,14.5904,,,,,
209,11/11/20,11:47:19 AM,15.0987,68.592,,1.634,,,,
210,11/11/20,11:54:01 AM,,,14.5918,,,,,
211,11/11/20,12:02:19 PM,15.0977,68.934,,1.637,,,,
212,11/11/20,12:09:01 PM,,,14.5866,,,,,
213,11/11/20,12:17:19 PM,15.0913,69.107,,1.632,,,,
214,11/11/20,12:24:01 PM,,,14.5830,,,,,
215,11/11/20,12:32:19 PM,15.0857,69.449,,1.629,,,,
216,11/11/20,12:39:01 PM,,,14.5783,,,,,
217,11/11/20,12:47:19 PM,15.0816,69.622,,1.626,,,,
218,11/11/20,12:54:01 PM,,,14.5775,,,,,
219,11/11/20,01:02:19 PM,15.0804,69.964,,1.627,,,,
220,11/11/20,01:09:01 PM,,,14.5747,,,,,
221,11/11/20,01:17:19 PM,15.0765,70.137,,1.625,,,,
222,11/11/20,01:24:01 PM,,,14.5718,,,,,
223,11/11/20,01:32:19 PM,15.0730,70.480,,1.624,,,,
224,11/11/20,01:39:01 PM,,,14.5685,,,,,
225,11/11/20,01:47:19 PM,15.0667,70.651,,1.614,,,,
226,11/11/20,01:54:01 PM,,,14.5674,,,,,
227,11/11/20,02:02:19 PM,15.0656,70.995,,1.618,,,,
228,11/11/20,02:09:01 PM,,,14.5631,,,,,
229,11/11/20,02:17:19 PM,15.0639,71.168,,1.622,,,,
230,11/11/20,02:24:01 PM,,,14.5606,,,,,
231,11/11/20,02:32:19 PM,15.0598,71.339,,1.619,,,,
232,11/11/20,02:39:01 PM,,,14.5576,,,,,
233,11/11/20,02:47:19 PM,15.0558,71.512,,1.614,,,,
234,11/11/20,02:54:01 PM,,,14.5567,,,,,
235,11/11/20,03:02:19 PM,15.0540,71.683,,1.612,,,,
236,11/11/20,03:09:01 PM,,,14.5558,,,,,
237,11/11/20,03:17:19 PM,15.0517,71.683,,1.609,,,,
238,11/11/20,03:24:01 PM,,,14.5544,,,,,
239,11/11/20,03:32:19 PM,15.0523,71.856,,1.610,,,,
240,11/11/20,03:39:01 PM,,,14.5558,,,,,
241,11/11/20,03:47:19 PM,15.0500,71.856,,1.603,,,,
242,11/11/20,03:54:01 PM,,,14.5558,,,,,
243,11/11/20,04:02:19 PM,15.0523,71.856,,1.607,,,,
244,11/11/20,04:09:01 PM,,,14.5573,,,,,
245,11/11/20,04:17:19 PM,15.0500,71.856,,1.597,,,,
246,11/11/20,04:24:01 PM,,,14.5598,,,,,
247,11/11/20,04:32:19 PM,15.0500,71.856,,1.597,,,,
248,11/11/20,04:39:01 PM,,,14.5579,,,,,
249,11/11/20,04:47:19 PM,15.0471,71.683,,1.592,,,,
250,11/11/20,04:54:01 PM,,,14.5580,,,,,
251,11/11/20,05:02:19 PM,15.0494,71.683,,1.594,,,,
252,11/11/20,05:09:01 PM,,,14.5603,,,,,
253,11/11/20,05:17:19 PM,15.0465,71.512,,1.588,,,,
254,11/11/20,05:24:01 PM,,,14.5579,,,,,
255,11/11/20,05:32:19 PM,15.0465,71.512,,1.586,,,,
256,11/11/20,05:39:01 PM,,,14.5615,,,,,
257,11/11/20,05:47:19 PM,15.0459,71.339,,1.580,,,,
258,11/11/20,05:54:01 PM,,,14.5621,,,,,
259,11/11/20,06:02:19 PM,15.0453,71.168,,1.576,,,,
260,11/11/20,06:09:01 PM,,,14.5640,,,,,
261,11/11/20,06:17:19 PM,15.0453,71.168,,1.579,,,,
262,11/11/20,06:24:01 PM,,,14.5602,,,,,
263,11/11/20,06:32:19 PM,15.0471,70.995,,1.582,,,,
264,11/11/20,06:39:01 PM,,,14.5640,,,,,
265,11/11/20,06:47:19 PM,15.0465,70.824,,1.574,,,,
266,11/11/20,06:54:01 PM,,,14.5658,,,,,
267,11/11/20,07:02:19 PM,15.0487,70.824,,1.577,,,,
268,11/11/20,07:09:01 PM,,,14.5664,,,,,
269,11/11/20,07:17:19 PM,15.0481,70.651,,1.573,,,,
270,11/11/20,07:24:01 PM,,,14.5674,,,,,
271,11/11/20,07:32:19 PM,15.0475,70.480,,1.569,,,,
272,11/11/20,07:39:01 PM,,,14.5690,,,,,
273,11/11/20,07:47:19 PM,15.0539,70.308,,1.583,,,,
274,11/11/20,07:54:01 PM,,,14.5682,,,,,
275,11/11/20,08:02:19 PM,15.0556,70.137,,1.588,,,,
276,11/11/20,08:09:01 PM,,,14.5680,,,,,
277,11/11/20,08:17:19 PM,15.0574,69.964,,1.592,,,,
278,11/11/20,08:24:01 PM,,,14.5683,,,,,
279,11/11/20,08:32:19 PM,15.0613,69.793,,1.594,,,,
280,11/11/20,08:39:01 PM,,,14.5735,,,,,
281,11/11/20,08:47:19 PM,15.0677,69.622,,1.608,,,,
282,11/11/20,08:54:01 PM,,,14.5698,,,,,
283,11/11/20,09:02:19 PM,15.0694,69.449,,1.619,,,,
284,11/11/20,09:09:01 PM,,,14.5677,,,,,
285,11/11/20,09:17:19 PM,15.0688,69.278,,1.619,,,,
286,11/11/20,09:24:01 PM,,,14.5682,,,,,
287,11/11/20,09:32:19 PM,15.0751,69.107,,1.629,,,,
288,11/11/20,09:39:01 PM,,,14.5715,,,,,
289,11/11/20,09:47:19 PM,15.0791,68.934,,1.636,,,,
290,11/11/20,09:54:01 PM,,,14.5701,,,,,
291,11/11/20,10:02:19 PM,15.0809,68.763,,1.641,,,,
292,11/11/20,10:09:01 PM,,,14.5711,,,,,
293,11/11/20,10:17:19 PM,15.0848,68.592,,1.650,,,,
294,11/11/20,10:24:01 PM,,,14.5698,,,,,
295,11/11/20,10:32:19 PM,15.0865,68.421,,1.654,,,,
296,11/11/20,10:39:01 PM,,,14.5714,,,,,
297,11/11/20,10:47:19 PM,15.0883,68.248,,1.655,,,,
298,11/11/20,10:54:01 PM,,,14.5724,,,,,
299,11/11/20,11:02:19 PM,15.0922,68.077,,1.661,,,,
300,11/11/20,11:09:01 PM,,,14.5732,,,,,
301,11/11/20,11:17:19 PM,15.0939,67.906,,1.666,,,,
302,11/11/20,11:24:01 PM,,,14.5719,,,,,
303,11/11/20,11:32:19 PM,15.0910,67.735,,1.663,,,,
304,11/11/20,11:39:01 PM,,,14.5705,,,,,
305,11/11/20,11:47:19 PM,15.0903,67.564,,1.661,,,,
306,11/11/20,11:54:01 PM,,,14.5721,,,,,
307,11/12/20,12:02:19 AM,15.0949,67.564,,1.671,,,,
308,11/12/20,12:09:01 AM,,,14.5714,,,,,
309,11/12/20,12:17:19 AM,15.0944,67.392,,1.672,,,,
310,11/12/20,12:24:01 AM,,,14.5699,,,,,
311,11/12/20,12:32:19 AM,15.0960,67.221,,1.679,,,,
312,11/12/20,12:39:01 AM,,,14.5685,,,,,
313,11/12/20,12:47:19 AM,15.0936,67.221,,1.671,,,,
314,11/12/20,12:54:01 AM,,,14.5718,,,,,
315,11/12/20,01:02:19 AM,15.0977,67.050,,1.679,,,,
316,11/12/20,01:09:01 AM,,,14.5702,,,,,
317,11/12/20,01:17:19 AM,15.0993,66.879,,1.688,,,,
318,11/12/20,01:24:01 AM,,,14.5673,,,,,
319,11/12/20,01:32:19 AM,15.0987,66.708,,1.684,,,,
320,11/12/20,01:39:01 AM,,,14.5712,,,,,
321,11/12/20,01:47:19 AM,15.1010,66.708,,1.687,,,,
322,11/12/20,01:54:01 AM,,,14.5705,,,,,
323,11/12/20,02:02:19 AM,15.1026,66.537,,1.690,,,,
324,11/12/20,02:09:01 AM,,,14.5712,,,,,
325,11/12/20,02:17:19 AM,15.1026,66.537,,1.689,,,,
326,11/12/20,02:24:01 AM,,,14.5712,,,,,
327,11/12/20,02:32:19 AM,15.1044,66.366,,1.688,,,,
328,11/12/20,02:39:01 AM,,,14.5753,,,,,
329,11/12/20,02:47:19 AM,15.1044,66.366,,1.685,,,,
330,11/12/20,02:54:01 AM,,,14.5746,,,,,
331,11/12/20,03:02:19 AM,15.1061,66.193,,1.693,,,,
332,11/12/20,03:09:01 AM,,,14.5721,,,,,
333,11/12/20,03:17:19 AM,15.1038,66.193,,1.693,,,,
334,11/12/20,03:24:01 AM,,,14.5698,,,,,
335,11/12/20,03:32:19 AM,15.1038,66.193,,1.697,,,,
336,11/12/20,03:39:01 AM,,,14.5682,,,,,
337,11/12/20,03:47:19 AM,15.1054,66.022,,1.696,,,,
338,11/12/20,03:54:01 AM,,,14.5737,,,,,
339,11/12/20,04:02:19 AM,15.1077,66.022,,1.695,,,,
340,11/12/20,04:09:01 AM,,,14.5737,,,,,
341,11/12/20,04:17:19 AM,15.1100,66.022,,1.703,,,,
342,11/12/20,04:24:01 AM,,,14.5719,,,,,
343,11/12/20,04:32:19 AM,15.1048,65.851,,1.695,,,,
344,11/12/20,04:39:01 AM,,,14.5703,,,,,
345,11/12/20,04:47:19 AM,15.1093,65.851,,1.703,,,,
346,11/12/20,04:54:01 AM,,,14.5735,,,,,
347,11/12/20,05:02:19 AM,15.1116,65.851,,1.704,,,,
348,11/12/20,05:09:01 AM,,,14.5743,,,,,
349,11/12/20,05:17:19 AM,15.1139,65.851,,1.707,,,,
350,11/12/20,05:24:01 AM,,,14.5751,,,,,
351,11/12/20,05:32:19 AM,15.1186,65.851,,1.717,,,,
352,11/12/20,05:39:01 AM,,,14.5753,,,,,
353,11/12/20,05:47:19 AM,15.1157,65.680,,1.713,,,,
354,11/12/20,05:54:01 AM,,,14.5730,,,,,
355,11/12/20,06:02:19 AM,15.1226,65.680,,1.728,,,,
356,11/12/20,06:09:01 AM,,,14.5754,,,,,
357,11/12/20,06:17:19 AM,15.1250,65.680,,1.725,,,,
358,11/12/20,06:24:01 AM,,,14.5802,,,,,
359,11/12/20,06:32:19 AM,15.1296,65.680,,1.731,,,,
360,11/12/20,06:39:01 AM,,,14.5802,,,,,
361,11/12/20,06:47:19 AM,15.1289,65.509,,1.726,,,,
362,11/12/20,06:54:01 AM,,,14.5825,,,,,
363,11/12/20,07:02:19 AM,15.1335,65.509,,1.730,,,,
364,11/12/20,07:09:01 AM,,,14.5857,,,,,
365,11/12/20,07:17:19 AM,15.1335,65.509,,1.726,,,,
366,11/12/20,07:24:01 AM,,,14.5864,,,,,
367,11/12/20,07:32:19 AM,15.1382,65.509,,1.736,,,,
368,11/12/20,07:39:01 AM,,,14.5864,,,,,
369,11/12/20,07:47:19 AM,15.1467,65.338,,1.743,,,,
370,11/12/20,07:54:01 AM,,,14.5969,,,,,
371,11/12/20,08:02:19 AM,15.1490,65.338,,1.729,,,,
372,11/12/20,08:09:01 AM,,,14.6031,,,,,
373,11/12/20,08:17:19 AM,15.1560,65.338,,1.732,,,,
374,11/12/20,08:24:01 AM,,,14.6086,,,,,
375,11/12/20,08:32:19 AM,15.1490,65.338,,1.716,,,,
376,11/12/20,08:39:01 AM,,,14.6041,,,,,
377,11/12/20,08:47:19 AM,15.1467,65.338,,1.706,,,,
378,11/12/20,08:54:01 AM,,,14.6115,,,,,
379,11/12/20,09:02:19 AM,15.1514,65.338,,1.700,,,,
380,11/12/20,09:09:01 AM,,,14.6182,,,,,
381,11/12/20,09:17:19 AM,15.1537,65.338,,1.696,,,,
382,11/12/20,09:24:01 AM,,,14.6207,,,,,
383,11/12/20,09:32:19 AM,15.1490,65.338,,1.677,,,,
384,11/12/20,09:39:01 AM,,,14.6247,,,,,
385,11/12/20,09:47:19 AM,15.1498,65.509,,1.673,,,,
386,11/12/20,09:54:01 AM,,,14.6260,,,,,
387,11/12/20,10:02:19 AM,15.1498,65.509,,1.670,,,,
388,11/12/20,10:09:01 AM,,,14.6273,,,,,
389,11/12/20,10:17:19 AM,15.1475,65.509,,1.664,,,,
390,11/12/20,10:24:01 AM,,,14.6266,,,,,
391,11/12/20,10:32:19 AM,15.1412,65.680,,1.654,,,,
392,11/12/20,10:39:01 AM,,,14.6236,,,,,
393,11/12/20,10:47:19 AM,15.1395,65.851,,1.655,,,,
394,11/12/20,10:54:01 AM,,,14.6221,,,,,
395,11/12/20,11:02:19 AM,15.1356,66.022,,1.647,,,,
396,11/12/20,11:09:01 AM,,,14.6231,,,,,
397,11/12/20,11:17:19 AM,15.1315,66.193,,1.642,,,,
398,11/12/20,11:24:01 AM,,,14.6186,,,,,
399,11/12/20,11:32:19 AM,15.1282,66.537,,1.638,,,,
400,11/12/20,11:39:01 AM,,,14.6195,,,,,
401,11/12/20,11:47:19 AM,15.1242,66.708,,1.633,,,,
402,11/12/20,11:54:01 AM,,,14.6155,,,,,
403,11/12/20,12:02:19 PM,15.1163,67.050,,1.628,,,,
404,11/12/20,12:09:01 PM,,,14.6079,,,,,
405,11/12/20,12:17:19 PM,15.1106,67.392,,1.628,,,,
406,11/12/20,12:24:01 PM,,,14.6038,,,,,
407,11/12/20,12:32:19 PM,15.1025,67.735,,1.619,,,,
408,11/12/20,12:39:01 PM,,,14.6001,,,,,
409,11/12/20,12:47:19 PM,15.0992,68.077,,1.622,,,,
410,11/12/20,12:54:01 PM,,,14.5943,,,,,
411,11/12/20,01:02:19 PM,15.0912,68.421,,1.618,,,,
412,11/12/20,01:09:01 PM,,,14.5875,,,,,
413,11/12/20,01:17:19 PM,15.0855,68.763,,1.620,,,,
414,11/12/20,01:24:01 PM,,,14.5812,,,,,
415,11/12/20,01:32:19 PM,15.0815,68.934,,1.621,,,,
416,11/12/20,01:39:01 PM,,,14.5788,,,,,
417,11/12/20,01:47:19 PM,15.0803,69.278,,1.622,,,,
418,11/12/20,01:54:01 PM,,,14.5776,,,,,
419,11/12/20,02:02:19 PM,15.0764,69.449,,1.618,,,,
420,11/12/20,02:09:01 PM,,,14.5748,,,,,
421,11/12/20,02:17:19 PM,15.0746,69.622,,1.619,,,,
422,11/12/20,02:24:01 PM,,,14.5728,,,,,
