Sample number,Sample time,Area (ft²),Battery voltage (V),Correlation.1 (%),Correlation.2 (%),Correlation.3 (%),Correlation.4 (%),Depth (ft),Depth (pressure) (ft H₂O),Depth (vertical beam) (ft),Flow (ft³/s),Noise.1,Noise.2,Noise.3,Noise.4,Noise.5,Pitch (deg),Pressure (uncorrected) (ft H₂O),Roll (deg),Signal strength.1,Signal strength.2,Signal strength.3,Signal strength.4,SNR.1 (dB),SNR.2 (dB),SNR.3 (dB),SNR.4 (dB),Sound speed (m/s),Stage (ft),Standard deviation (vel).1 (ft/s),Standard deviation (vel).2 (ft/s),Standard deviation (vel).3 (ft/s),Standard deviation (vel).4 (ft/s),System in water (%),System status (status codes),Temperature (°F),VB percent good (%),Velocity (beam).1 (ft/s),Velocity (beam).2 (ft/s),Velocity (beam).3 (ft/s),Velocity (beam).4 (ft/s),Velocity (mean) (ft/s),Velocity (X-OBS).X-Center (Beam 1 Only) (ft/s),Velocity (X-OBS).X-Center (Beam 2 Only) (ft/s),Velocity (XZ).X-Center (ft/s),Velocity (XZ).Z-Center (ft/s),Velocity (XZ).X-Left (ft/s),Velocity (XZ).X-Right (ft/s),Volume (negative) (acre ft),Volume (positive) (acre ft),Volume (total) (acre ft)
26,2020-11-10 15:58:00,3.3058821311396733,11.562056541442871,2,1,,,0.2820108301625594,0.18797740078926087,0.2820108301625594,0,624,624,624,624,624,-0.81999998167157173,33.096867677249911,0.47999998927116394,452,454,,,-17.200000256299973,-17.00000025331974,-62.500000931322575,-62.500000931322575,1499.328369140625,-13.605128277448989,0.070538039551098691,0.0062335941928877911,,,98,512,78.350466918945315,73,-0.019685034,0,,,0,0.045931745999999996,0,0.022965872999999998,-0.009842517,,,0,0,0
27,2020-11-10 16:13:00,3.3115128192172163,11.561916351318359,3,0,,,0.28253775934200426,0.20242419323921204,0.28253775934200426,0,624,624,623,624,624,-0.81999998167157173,33.084612789926531,0.47999998927116394,453,453,,,-17.100000254809856,-17.100000254809856,-62.400000929832458,-62.500000931322575,1498.6865234375,-13.604601348269542,0.0036089229537771424,0.0695537878364322,,,100,512,77.920661163330081,76,0,-0.022965872999999998,,,0,0,-0.055774263000000004,-0.026246712,-0.013123356,,,0,0,0
28,2020-11-10 16:28:00,3.3076707729192738,11.557575225830078,6,6,,,0.28217823394665592,0.21501089735031129,0.28217823394665592,0,624,624,624,624,624,-0.81999998167157173,33.074811432504653,0.47999998927116394,454,452,,,-17.00000025331974,-17.200000256299973,-62.500000931322575,-62.500000931322575,1497.783447265625,-13.604960873664892,0.011154852766220256,0.0078740137173319465,,,95,512,77.32173118591308,69,-0.003280839,0,,,0,0.006561678,0,0.003280839,-0.003280839,,,0,0,0
29,2020-11-10 16:43:00,3.3063255925783532,11.556919097900391,5,4,,,0.28205233661961959,0.22596404189109803,0.28205233661961959,0,624,624,624,624,624,-0.81999998167157173,33.067067977275848,0.47999998927116394,454,451,,,-17.00000025331974,-17.300000257790089,-62.500000931322575,-62.500000931322575,1496.995849609375,-13.605086770991928,0.0052493424782212974,0.037073481252437916,,,97,512,76.802379989624029,67,-0.003280839,0.009842517,,,0,0.006561678,0.022965872999999998,0.016404195,0.003280839,,,0,0,0
30,2020-11-10 16:58:00,3.2922962546010606,11.554169654846191,8,8,,,0.2807386919138119,0.22836014196395874,0.2807386919138119,0,624,624,624,624,624,-0.81999998167157173,33.052005409440994,0.47999998927116394,455,450,,,-16.900000251829624,-17.400000259280205,-62.500000931322575,-62.500000931322575,1496.226318359375,-13.606400415697737,0.00032808390488883108,0.00065616780977766217,,,96,512,76.298766708374018,68,0,0,,,0,0,0,0,0,,,0,0,0
31,2020-11-10 17:13:00,3.2953697574377703,11.554423332214356,4,4,,,0.28102657775878076,0.24435753978729249,0.28102657775878076,0,624,624,624,624,624,-0.81999998167157173,33.055779825401309,0.47999998927116394,456,449,,,-16.800000250339508,-17.500000260770321,-62.500000931322575,-62.500000931322575,1495.2603759765625,-13.606112529852766,0.0032808390488883107,0.052821508687101809,,,98,512,75.671440505981451,69,0,-0.016404195,,,0,0,-0.039370068,-0.019685034,-0.009842517,,,0,0,0
32,2020-11-10 17:28:00,3.2819564541343387,11.550048828125,4,2,,,0.27976979462413137,0.24251021363258363,0.27976979462413137,0,624,624,624,624,624,-0.80999998189508915,33.041511703529359,0.47999998927116394,456,450,,,-16.800000250339508,-17.400000259280205,-62.500000931322575,-62.500000931322575,1494.4931640625,-13.607369312987418,0.0052493424782212974,0.004921258573332467,,,96,512,75.1770248413086,65,-0.003280839,0,,,0,0.006561678,0,0.003280839,-0.003280839,,,0,0,0
33,2020-11-10 17:43:00,3.2901739176266349,11.54588508605957,6,5,,,0.28053986722889707,0.23960681674003603,0.28053986722889707,0,624,624,624,624,624,-0.80999998189508915,33.024962341241839,0.47999998927116394,457,449,,,-16.700000248849392,-17.500000260770321,-62.500000931322575,-62.500000931322575,1493.4876708984375,-13.60659924038265,0.00295275514399948,0.00098425171466649331,,,90,512,74.533754730224615,62,0,0,,,0,0,0,0,0,,,0,0,0
34,2020-11-10 17:58:00,3.2785687813265114,11.54471492767334,8,7,,,0.27945221675264015,0.23083600568771362,0.27945221675264015,0,624,624,624,624,624,-0.80999998189508915,32.999986746873859,0.47999998927116394,458,449,,,-16.600000247359276,-17.500000260770321,-62.500000931322575,-62.500000931322575,1492.2283935546875,-13.607686890858906,0.00065616780977766217,0.00098425171466649331,,,93,512,73.736154174804682,60,0,0,,,0,0,0,0,0,,,0,0,0
35,2020-11-10 18:13:00,3.2755827517753113,11.540104866027832,8,8,,,0.279172236117308,0.2317644545841217,0.279172236117308,0,624,624,624,624,624,-0.80999998189508915,32.98511242125511,0.47999998927116394,457,450,,,-16.700000248849392,-17.400000259280205,-62.500000931322575,-62.500000931322575,1490.9847412109375,-13.60796687149424,0.00065616780977766217,0.00065616780977766217,,,91,512,72.956856155395514,57,0,0,,,0,0,0,0,0,,,0,0,0
36,2020-11-10 18:28:00,3.273564875767601,11.53594970703125,7,8,,,0.27898300383925123,0.23947281380653382,0.27898300383925123,0,624,624,624,624,624,-0.80999998189508915,32.979650206441882,0.47999998927116394,446,451,,,-17.800000265240669,-17.300000257790089,-62.500000931322575,-62.500000931322575,1490.0701904296875,-13.608156103772297,0.00032808390488883108,0.00065616780977766217,,,81,512,72.389347076416016,42,0,0,,,0,0,0,0,0,,,0,0,0
37,2020-11-10 18:43:00,3.2661169954091731,11.535989761352539,8,8,,,0.27828435336970542,0.24394276880264282,0.27828435336970542,0,624,624,624,624,624,-0.79999998211860657,32.972672482261657,0.47999998927116394,442,453,,,-18.200000271201134,-17.100000254809856,-62.500000931322575,-62.500000931322575,1489.145751953125,-13.608854754241841,0.00065616780977766217,0.0016404195244441554,,,92,512,71.819362640380859,54,0,0,,,0,0,0,0,0,,,0,0,0
38,2020-11-10 18:58:00,3.275273698047227,11.533671379089356,5,4,,,0.27914325521546179,0.25510967992782596,0.27914325521546179,0,624,624,624,624,624,-0.79999998211860657,32.975827932291033,0.46999998949468136,442,454,,,-18.200000271201134,-17.00000025331974,-62.500000931322575,-62.500000931322575,1488.552490234375,-13.607995852396087,0.0042650907635548036,0.0065616780977766215,,,90,512,71.456055068969732,48,0,0,,,0,0,0,0,0,,,0,0,0
39,2020-11-10 19:13:00,3.2751050242838904,11.531267166137695,5,5,,,0.27912743793459521,0.26037408088684083,0.27912743793459521,0,624,624,624,624,624,-0.79999998211860657,32.974838863019947,0.46999998949468136,440,449,,,-18.400000274181366,-17.500000260770321,-62.500000931322575,-62.500000931322575,1488.003662109375,-13.608011669676952,0.0019685034293329866,0.0026246712391106487,,,87,512,71.1214527130127,50,0,0,,,0,0,0,0,0,,,0,0,0
40,2020-11-10 19:28:00,3.2712069424337478,11.528923034667969,5,3,,,0.278761851907157,0.25365160038948059,0.278761851907157,0,624,624,624,624,624,-0.79999998211860657,32.959747580270765,0.46999998949468136,441,448,,,-18.30000027269125,-17.600000262260437,-62.500000931322575,-62.500000931322575,1487.228759765625,-13.60837725570439,0.0885826543199844,0.025590544581328825,,,85,512,70.652137374877924,44,0.039370068,-0.009842517,,,0,-0.095144331,-0.022965872999999998,-0.059055102000000005,0.016404195,,,0,0,0
41,2020-11-10 19:43:00,3.2651945310101222,11.524561882019043,6,6,,,0.27819779903951874,0.25374731677055362,0.27819779903951874,0,624,624,624,624,624,-0.79999998211860657,32.951691451530458,0.46999998949468136,439,444,,,-18.500000275671482,-18.0000002682209,-62.500000931322575,-62.500000931322575,1486.49169921875,-13.608941308572028,0.0019685034293329866,0.00098425171466649331,,,81,512,70.20778160095216,47,0,0,,,0,0,0,0,0,,,0,0,0
42,2020-11-10 19:58:00,3.2735092940530253,11.523954391479492,7,7,,,0.27897779116740262,0.26471641404151919,0.27897779116740262,0,624,624,624,624,624,-0.79999998211860657,32.957906635208133,0.46999998949468136,438,442,,,-18.600000277161598,-18.200000271201134,-62.500000931322575,-62.500000931322575,1485.942138671875,-13.608161316444146,0.00032808390488883108,0.00065616780977766217,,,81,512,69.878562545776362,47,0,0,,,0,0,0,0,0,,,0,0,0
